tag,ct,beta,theta,p,sigma,rho,epsilonA,epsilonI,lambda0,gammaA,gammaI,gammaD,cD,dD,dI,delta,S0,R0,Q0,E0,A0,I0,D0,day
CASES,Puerto_Rico,5.48002846529749e-06,0.10000000013584476,0.002089224159389404,0.14285714285714285,0.12,0.1999999999993244,0.3999999988458208,0.014705882352941175,0.10000000086257534,0.1,0.10003895131884737,1.4,0.0036358639141429905,0.005090209479800187,0.001400433596496109,303814.52861746657,0,2361.0,192.0,76.8,115.2,64,68
CASES,Qatar,9.132595673835903e-06,0.15999769325334065,0.0010000524571303702,0.14285714285714285,0.12,0.18476291601674485,0.1457277627199656,0.01098901098901099,0.10000003205433154,0.1,0.10007970531095982,1.4,7.146650937244706e-05,0.00010005311312142588,0.0009714583662179812,199261.40942520613,0,36155.4,3.0,1.2,1.8,1,91
CASES,Rio_Grande_do_Norte,9.996758086312424e-06,0.15993239117517444,0.0010000000575410902,0.14285714285714285,0.12,0.09623668760569336,0.10011157249969088,0.012195121951219513,0.1000105206743593,0.1,0.10017410755446214,1.4,0.00432835411506229,0.006059695761087207,0.001239049088275046,146788.2882965087,0,4939.8,3.0,1.2,1.8,1,82
CASES,Rio_Grande_do_Sul,9.999657476762892e-06,0.15989217482767876,0.0010000002313431016,0.14285714285714285,0.12,0.03261554554703488,0.10001025329447108,0.011764705882352941,0.10000007648303952,0.1,0.14045790088461144,1.4,0.0035571827286261944,0.004980055820076672,0.0024681387156682,130723.63211386325,0,5951.4,3.0,1.2,1.8,1,85
CASES,Rio_de_Janeiro,5.411839127015063e-06,0.15999391689195006,0.0010003494713775208,0.14285714285714285,0.12,0.13338701962031232,0.10001117672849616,0.011111111111111113,0.10000076813840388,0.1,0.10001714644952407,1.4,0.01114088262962806,0.015597235681479284,0.0008067424081326102,306590.2320012852,0,34039.2,3.0,1.2,1.8,1,90
CASES,Romania,9.999992560552e-06,0.1599990969380689,0.0434373406413367,0.14285714285714285,0.12,0.09999442872247312,0.12534872245295786,0.010416666666666666,0.10795089949266133,0.1,0.10342284382844408,1.4,0.007252868585183681,0.010154016019257152,0.0012915529929078404,247107.10059711625,0,11710.2,3.0,1.2,1.8,1,96
CASES,Rondonia,9.999948554728416e-06,0.15999999720299193,0.003481599640288185,0.14285714285714285,0.12,0.04316728137545955,0.10000000023981173,0.013333333333333334,0.1000000284353115,0.1,0.10002022597553012,1.4,0.0032428800881793,0.004540032123451021,0.0015711178513475588,140874.27377077812,0,3286.2,3.0,1.2,1.8,1,75
CASES,Russia,1.9566697872157204e-07,0.1599994853939127,0.0010000232411999832,0.14285714285714285,0.12,0.0007727278261665971,0.10000220378146422,0.008064516129032258,0.1000104028371812,0.1,0.1000063065405486,1.4,0.0012030736893957148,0.0016843031651540006,0.00015222557457755803,8276240.826152405,0,254244.6,6.0,2.4,3.6,2,124
CASES,San_Marino,1.816652794881214e-06,0.10279767567521854,0.04421746314359992,0.14285714285714285,0.12,0.04843269195311765,0.3999616478528616,0.010416666666666666,0.10805017468632254,0.1,0.1175750673952576,1.4,0.007656050900156308,0.010718471260218831,0.04995988365899662,1788.1359336611301,0,412.2,3.0,1.2,1.8,1,96
CASES,Santa_Catarina,8.740785275267183e-06,0.13843265006339714,0.03260893544567284,0.14285714285714285,0.12,0.10022329675807493,0.10000082633425668,0.012195121951219513,0.1000000000050214,0.1,0.10000620733586656,1.4,0.001556025934157722,0.002178436307820811,1.2711343089222282e-10,430765.94932911283,0,5796.0,6.0,2.4,3.6,2,82
CASES,Sao_Paulo,6.421827717974793e-07,0.1308471999714062,0.005870032015251163,0.14285714285714285,0.12,0.1999995966871752,0.12731326463114692,0.010204081632653059,0.10000725589780668,0.1,0.10000846651100834,1.4,0.007248054698407092,0.010147276577769928,0.0002478738601523478,3205387.4997429918,0,70977.0,3.0,1.2,1.8,1,98
CASES,Sao_Tome_and_Principe,9.999638447347467e-06,0.15994311838928552,0.0213590795877665,0.14285714285714285,0.12,0.023820107746105542,0.10000112590588038,0.017857142857142856,0.1000000341761178,0.1,0.14998877572902009,1.4,0.003813273959212375,0.005338583542897325,0.01246772000560187,14962.529435145214,0,290.4,12.0,4.8,7.2,4,56
CASES,Saudi_Arabia,7.626034680690397e-07,0.15990192092238176,0.007843946729452822,0.14285714285714285,0.12,0.0013176870101876627,0.17028272192318544,0.011111111111111113,0.14845318286874382,0.1,0.1496914843253272,1.4,0.0009289935214510707,0.0013005909300314992,0.0018543837876826565,2510784.452562221,0,53406.6,3.0,1.2,1.8,1,90
CASES,Senegal,2.9980039939120896e-06,0.1599980920648953,0.020560604102943632,0.14285714285714285,0.12,4.561829802796072e-11,0.10000001963569853,0.011627906976744186,0.14999988557126964,0.1,0.14994376042150798,1.4,0.0016998633530516329,0.0023798086942722857,0.0005721586625985209,619941.4691475916,0,2301.6,3.0,1.2,1.8,1,86
CASES,Serbia,9.999999292958632e-06,0.15999827705172587,0.009611693251096242,0.14285714285714285,0.12,3.1507555305332345e-05,0.10000489043394696,0.011627906976744186,0.10000007167503418,0.1,0.14999408393999758,1.4,0.003278486088437809,0.0045898805238129324,0.04438571582360007,193441.81634121173,0,6872.4,3.0,1.2,1.8,1,86
CASES,Sergipe,9.99993594395587e-06,0.1599999853014115,0.0014820685831262409,0.14285714285714285,0.12,1.6401324742787438e-12,0.1000010545149144,0.0125,0.10000000021496216,0.1,0.14998583973413815,1.4,0.003494184536675032,0.004891858351345044,0.0015646466237268508,195135.64668169463,0,4533.0,3.0,1.2,1.8,1,80
CASES,Sierra_Leone,9.992706416946933e-06,0.15991070445740374,0.00989100163195438,0.14285714285714285,0.12,0.0260144237273066,0.10019209298422793,0.015625,0.10000455110664597,0.1,0.10000000493912847,1.4,0.0054117649731763645,0.00757647096244691,0.009605330429758474,36798.18297375793,0,537.6,3.0,1.2,1.8,1,64
CASES,Singapore,7.982269254587618e-06,0.15999834665640536,0.0010000000027719654,0.14285714285714285,0.12,0.011570569008633205,0.3995023575760665,0.007575757575757577,0.10000000328872194,0.1,0.13703965244736707,1.4,9.183937391759212e-05,0.00012857512348462898,1.076916333886402e-14,233467.6935081235,0,21501.6,9.0,3.6,5.4,3,132
