ct, chi-square, chi-reduced, akaike, population, func_call
Tajikistan, 364979.346, 9124.48365, 474.664291, 9321023.00, 4863
Thailand, 757070.979, 5331.48577, 1323.53648, 69625581.0, 6955
Tocantins, 299770.157, 3700.86613, 766.186412, 1572866.00, 15707
Togo, 39823.6200, 452.541136, 615.712468, 8082359.00, 3907
Tunisia, 19922.1742, 214.216927, 568.540568, 11694721.0, 5780
Turkey, 1.2094e+08, 1374286.69, 1409.55057, 83429607.0, 15161
Uganda, 129846.454, 1623.08068, 682.955605, 44269587.0, 2992
Ukraine, 34535251.8, 392446.043, 1285.47476, 43993643.0, 6483
United_Arab_Emirates, 37987673.3, 294478.087, 1773.55818, 9770526.00, 3310
United_Kingdom, 2.4575e+09, 18759545.5, 2388.65486, 66647112.0, 16526
United_Republic_of_Tanzania, 45848.2816, 539.391548, 614.199501, 58005461.0, 8142
United_States_of_America, 6.4294e+11, 4.5598e+09, 3391.14520, 3.2906e+08, 8490
Uruguay, 10858.7897, 124.813675, 483.360741, 3461731.00, 4233
Uzbekistan, 5174556.40, 60169.2605, 1077.80166, 32981715.0, 12125
Venezuela, 647313.094, 7526.89645, 876.169816, 28515829.0, 5502
Yemen, 38980.9364, 639.031744, 475.179655, 29161922.0, 12256
Zambia, 231810.891, 2792.90230, 756.175947, 17861034.0, 5555
Zimbabwe, 23771.0499, 293.469752, 533.008034, 14645473.0, 3929
ct, chi-square, chi-reduced, akaike, population, func_call
Acre, 1802071.43, 22247.7954, 931.204607, 881935.000, 2851
Afghanistan, 2065308.91, 21513.6345, 1077.87188, 38041757.0, 19647
Alagoas, 9485116.93, 103099.097, 1199.34207, 3337357.00, 8225
Albania, 753529.854, 8102.47155, 946.365834, 2880913.00, 6913
Algeria, 2946034.69, 29460.3469, 1152.69489, 43053054.0, 9774
Amapa, 2649064.37, 33113.3047, 957.376038, 845731.000, 11489
Amazonas, 18202095.4, 214142.298, 1188.65911, 4144597.00, 7960
Andorra, 55992.3400, 636.276590, 649.447182, 77146.0000, 3149
Argentina, 2.1175e+08, 2228912.08, 1559.79097, 44780675.0, 9926
Armenia, 5219183.99, 56730.2607, 1137.81163, 2957728.00, 16957
Australia, 12037559.3, 87865.3963, 1695.33684, 25203200.0, 6628
Austria, 2408902.85, 22941.9319, 1175.16664, 8858775.00, 10065
Azerbaijan, 19926257.0, 209750.074, 1309.27564, 10047719.0, 13311
Bahia, 85757636.9, 912315.287, 1451.37291, 14873064.0, 6907
Bahrain, 4428803.61, 41781.1661, 1255.35153, 1641164.00, 31241
Bangladesh, 45735323.4, 525693.372, 1301.23457, 1.6305e+08, 14642
Belarus, 3129672.95, 32943.9258, 1113.05800, 9452409.00, 12589
Belgium, 5.7560e+09, 45322560.8, 2443.38235, 11455519.0, 3486
Benin, 448576.399, 5277.36940, 833.150665, 11801151.0, 9440
Bolivia, 7582023.35, 85191.2736, 1145.61205, 11513102.0, 13706
Bosnia_and_Herzegovina, 503027.442, 5651.99373, 874.322982, 3300998.00, 4673
Brasil, 2.6318e+09, 25551234.5, 1954.83885, 2.1015e+08, 29283
Brazil, 2.6082e+09, 24839911.9, 1985.68656, 2.1105e+08, 27035
Bulgaria, 1303811.62, 14171.8655, 994.945577, 7000039.00, 6867
Burkina_Faso, 18747.0489, 210.640999, 545.362144, 20321383.0, 3796
Cameroon, 25793640.3, 289816.183, 1268.04683, 25876387.0, 7541
Canada, 1.2995e+08, 955540.105, 2034.76138, 37411038.0, 4245
Cape_Verde, 65665.4851, 810.685001, 626.489694, 549936.000, 7500
Ceara, 9.4162e+08, 11344794.0, 1537.26264, 9132078.00, 3600
Central_African_Republic, 88665.7334, 1030.99690, 683.338026, 4745179.00, 6573
Chad, 19934.5343, 243.104077, 521.187675, 15946882.0, 6225
Chile, 1.9966e+09, 20583212.4, 1829.11714, 18952035.0, 8711
China, 6.9461e+08, 4287743.88, 2652.56465, 1.4338e+09, 7715
Colombia, 26254097.0, 288506.561, 1292.75270, 50339443.0, 11944
Congo, 36553.3255, 420.153166, 602.312877, 5380504.00, 12686
Costa_Rica, 2127096.66, 22628.6879, 1063.21236, 5047561.00, 8243
Cote_dIvoire, 5744648.70, 65280.0989, 1107.89729, 25716554.0, 10421
Croatia, 4479868.90, 43920.2833, 1218.41197, 4076246.00, 3057
Cuba, 41503.7624, 477.054741, 614.760045, 11333484.0, 6242
Cyprus, 12035.3925, 133.726583, 504.829131, 875899.000, 3969
Czechia, 1946585.06, 19465.8506, 1106.69832, 10649800.0, 15683
Democratic_Republic_of_the_Congo, 185248.261, 2081.44114, 774.428197, 86790568.0, 7606
Denmark, 2139829.56, 20575.2842, 1152.60003, 5806081.00, 7199
Distrito_Federal, 16800558.8, 95457.7207, 2154.88724, 3015268.00, 19990
Djibouti, 6855549.05, 82596.9765, 1074.54377, 973557.000, 7431
Dominican_Republic, 4697871.84, 51624.9653, 1117.24003, 10738957.0, 19286
Ecuador, 4.5718e+08, 4762313.24, 1655.65069, 17373657.0, 10271
Egypt, 1.7270e+08, 1541947.83, 1763.04920, 1.0039e+08, 9417
El_Salvador, 255255.615, 3075.36886, 765.232240, 645355.000, 8195
Equatorial_Guinea, 405504.946, 4660.97639, 838.136245, 1355982.00, 2411
Espirito_Santo, 47785130.4, 508352.451, 1389.96780, 4018650.00, 6262
Estonia, 83195.4949, 848.933621, 745.498465, 1324820.00, 4791
Eswatini, 57127.6674, 656.639855, 646.071482, 1148133.00, 7830
Ethiopia, 300505.760, 3414.83819, 815.792133, 1.1208e+08, 12073
Finland, 556891.158, 4350.71217, 1175.09551, 5517919.00, 16136
France, 1.3205e+08, 963867.588, 2049.81872, 67012883.0, 13592
